query,domain,domain_architecture,protein_id,length,domain_count
tr|G0RA70|G0RA70_HYPJQ,['GH27'],GH27,tr|G0RA70|G0RA70_HYPJQ,476,1
tr|G0RVQ8|G0RVQ8_HYPJQ,['GH30_3'],GH30_3,tr|G0RVQ8|G0RVQ8_HYPJQ,476,1
tr|G0RVK4|G0RVK4_HYPJQ,['GH30_7'],GH30_7,tr|G0RVK4|G0RVK4_HYPJQ,473,1
tr|G0RFR8|G0RFR8_HYPJQ,['GH13_1'],GH13_1,tr|G0RFR8|G0RFR8_HYPJQ,463,1
tr|G0RN13|G0RN13_HYPJQ,['GH76'],GH76,tr|G0RN13|G0RN13_HYPJQ,463,1
tr|G0RGT2|G0RGT2_HYPJQ,['GH79'],GH79,tr|G0RGT2|G0RGT2_HYPJQ,462,1
tr|G0RUT8|G0RUT8_HYPJQ,['GH76'],GH76,tr|G0RUT8|G0RUT8_HYPJQ,461,1
sp|G0RV93|GCE_HYPJQ,['CE15'],CE15,sp|G0RV93|GCE_HYPJQ,460,1
tr|G0RME4|G0RME4_HYPJQ,['GH76'],GH76,tr|G0RME4|G0RME4_HYPJQ,460,1
tr|G0RKH9|G0RKH9_HYPJQ,['GH7'],GH7,tr|G0RKH9|G0RKH9_HYPJQ,459,1
tr|G0RV92|G0RV92_HYPJQ,['GH30_7'],GH30_7,tr|G0RV92|G0RV92_HYPJQ,459,1
tr|G0RNW6|G0RNW6_HYPJQ,['GH28'],GH28,tr|G0RNW6|G0RNW6_HYPJQ,457,1
tr|G0RTB0|G0RTB0_HYPJQ,['GH72'],GH72,tr|G0RTB0|G0RTB0_HYPJQ,456,1
tr|G0RTS0|G0RTS0_HYPJQ,['GH64'],GH64,tr|G0RTS0|G0RTS0_HYPJQ,449,1
tr|G0RC44|G0RC44_HYPJQ,['GH27'],GH27,tr|G0RC44|G0RC44_HYPJQ,444,1
tr|G0RXL3|G0RXL3_HYPJQ,['GH39'],GH39,tr|G0RXL3|G0RXL3_HYPJQ,440,1
tr|G0RXC7|G0RXC7_HYPJQ,['GH5_5'],GH5_5,tr|G0RXC7|G0RXC7_HYPJQ,438,1
tr|G0RDC0|G0RDC0_HYPJQ,['GH132'],GH132,tr|G0RDC0|G0RDC0_HYPJQ,436,1
tr|G0RFB0|G0RFB0_HYPJQ,['GH16_19'],GH16_19,tr|G0RFB0|G0RFB0_HYPJQ,433,1
sp|G0RPY6|AA12_HYPJQ,['AA12'],AA12,sp|G0RPY6|AA12_HYPJQ,430,1
tr|G0RGE0|G0RGE0_HYPJQ,['GH71'],GH71,tr|G0RGE0|G0RGE0_HYPJQ,429,1
tr|G0RNW1|G0RNW1_HYPJQ,['GH5_15'],GH5_15,tr|G0RNW1|G0RNW1_HYPJQ,429,1
tr|G0RSA2|G0RSA2_HYPJQ,['GH18'],GH18,tr|G0RSA2|G0RSA2_HYPJQ,424,1
tr|G0REN0|G0REN0_HYPJQ,['PL38'],PL38,tr|G0REN0|G0REN0_HYPJQ,422,1
tr|G0RB67|G0RB67_HYPJQ,['GH5_5'],GH5_5,tr|G0RB67|G0RB67_HYPJQ,418,1
tr|G0RVY2|G0RVY2_HYPJQ,['GT15'],GT15,tr|G0RVY2|G0RVY2_HYPJQ,415,1
tr|G0RVZ9|G0RVZ9_HYPJQ,['GH18'],GH18,tr|G0RVZ9|G0RVZ9_HYPJQ,411,1
tr|G0RB43|G0RB43_HYPJQ,['GH76'],GH76,tr|G0RB43|G0RB43_HYPJQ,409,1
tr|G0RWB2|G0RWB2_HYPJQ,['GH28'],GH28,tr|G0RWB2|G0RWB2_HYPJQ,405,1
